tick,time_s,status,available_added,total_draw_request,total_granted,remaining_power
0,0,1,0,0,0,0
1,60,1,125.343,0,0,125.343
2,120,1,130.663,5,5,251.006
3,180,1,135.935,185,185,201.941
4,240,1,141.136,185,185,158.077
5,300,1,146.242,185,158.077,146.242
6,360,1,151.231,185,146.242,151.231
7,420,1,156.081,185,151.231,156.081
8,480,1,160.769,185,156.081,160.769
9,540,1,165.276,185,160.769,165.276
10,600,1,169.58,5,5,329.856
11,660,1,173.663,5,5,498.519
12,720,1,177.506,5,5,671.024
13,780,1,181.092,5,5,847.117
14,840,1,184.406,5,5,1026.52
15,900,1,187.431,5,5,1208.95
16,960,1,190.156,5,5,1394.11
17,1020,1,192.567,5,5,1581.68
18,1080,1,194.654,5,5,1771.33
19,1140,1,196.408,5,5,1962.74
20,1200,1,197.821,5,5,2155.56
21,1260,1,198.886,5,5,2349.45
22,1320,1,199.598,5,5,2544.04
23,1380,1,199.955,5,5,2739
24,1440,1,199.955,5,5,2933.95
25,1500,1,199.598,5,5,3128.55
26,1560,1,198.886,155,155,3172.44
27,1620,1,197.821,155,155,3215.26
28,1680,1,196.408,155,155,3256.67
