tick,time_s,status,solar_input,output,efficiency
0,0,1,0,0,0.2
1,60,1,626.717,125.343,0.2
2,120,1,653.315,130.663,0.2
3,180,1,679.674,135.935,0.2
4,240,1,705.678,141.136,0.2
5,300,1,731.21,146.242,0.2
6,360,1,756.156,151.231,0.2
7,420,1,780.404,156.081,0.2
8,480,1,803.847,160.769,0.2
9,540,1,826.379,165.276,0.2
10,600,1,847.9,169.58,0.2
11,660,1,868.314,173.663,0.2
12,720,1,887.529,177.506,0.2
13,780,1,905.461,181.092,0.2
14,840,1,922.028,184.406,0.2
15,900,1,937.157,187.431,0.2
16,960,1,950.78,190.156,0.2
17,1020,1,962.836,192.567,0.2
18,1080,1,973.272,194.654,0.2
19,1140,1,982.041,196.408,0.2
20,1200,1,989.103,197.821,0.2
21,1260,1,994.428,198.886,0.2
22,1320,1,997.991,199.598,0.2
23,1380,1,999.777,199.955,0.2
24,1440,1,999.777,199.955,0.2
25,1500,1,997.991,199.598,0.2
26,1560,1,994.428,198.886,0.2
27,1620,1,989.103,197.821,0.2
28,1680,1,982.041,196.408,0.2
29,1740,1,973.272,194.654,0.2
30,1800,1,962.836,192.567,0.2
31,1860,1,950.78,190.156,0.2
32,1920,1,937.157,187.431,0.2
33,1980,1,922.028,184.406,0.2
34,2040,1,905.461,181.092,0.2
35,2100,1,887.529,177.506,0.2
36,2160,1,868.314,173.663,0.2
37,2220,1,847.9,169.58,0.2
38,2280,1,826.379,165.276,0.2
39,2340,1,803.847,160.769,0.2
40,2400,1,780.404,156.081,0.2
41,2460,1,756.156,151.231,0.2
42,2520,1,731.21,146.242,0.2
43,2580,1,705.678,141.136,0.2
44,2640,1,679.674,135.935,0.2
45,2700,1,653.315,130.663,0.2
46,2760,1,626.717,125.343,0.2
47,2820,1,600,120,0.2
48,2880,1,600,120,0.2
49,2940,1,600,120,0.2
50,3000,1,600,120,0.2
51,3060,1,600,120,0.2
52,3120,1,600,120,0.2
53,3180,1,600,120,0.2
54,3240,1,600,120,0.2
55,3300,1,600,120,0.2
56,3360,1,600,120,0.2
57,3420,1,600,120,0.2
58,3480,1,600,120,0.2
59,3540,1,600,120,0.2
60,3600,1,600,120,0.2
61,3660,1,600,120,0.2
62,3720,1,600,120,0.2
63,3780,1,600,120,0.2
64,3840,1,600,120,0.2
65,3900,1,600,120,0.2
66,3960,1,600,120,0.2
67,4020,1,600,120,0.2
68,4080,1,600,120,0.2
69,4140,1,600,120,0.2
70,4200,1,600,120,0.2
71,4260,1,600,120,0.2
72,4320,1,600,120,0.2
73,4380,1,600,120,0.2
74,4440,1,600,120,0.2
75,4500,1,600,120,0.2
