tick,time_s,p_front_Torr,p_wake_Torr,p_free_Torr
# Fix print output for fix out
1,0.01,0,0,0
2,0.02,1.59763995721603e-09,1.99349205258575e-12,1.1603317620377e-09
3,0.03,1.60088090640762e-09,2.1341487548275e-12,1.16305148575557e-09
4,0.04,1.60019296995739e-09,2.10871122887996e-12,1.16398704952033e-09
5,0.05,1.5996078102944e-09,1.9356677431744e-12,1.16126871817254e-09
6,0.06,1.60047082122119e-09,2.09637895832303e-12,1.16262441833417e-09
7,0.07,1.59630951330018e-09,2.12373121659921e-12,1.16128511517596e-09
8,0.08,1.60114058055389e-09,2.11716397449126e-12,1.16555595456435e-09
9,0.09,1.59887322383714e-09,2.12987433974271e-12,1.15915396579711e-09
10,0.1,1.60077944630738e-09,2.03984349769623e-12,1.16245574267047e-09
11,0.11,1.59626904121581e-09,2.06763312453708e-12,1.15957674402687e-09
tick,time_s,p_front_Torr,p_wake_Torr,p_free_Torr
# Fix print output for fix out
1,0.01,0,0,0
2,0.02,1.59763995721603e-09,1.99349205258575e-12,1.1603317620377e-09
3,0.03,1.60088090640762e-09,2.1341487548275e-12,1.16305148575557e-09
4,0.04,1.60019296995739e-09,2.10871122887996e-12,1.16398704952033e-09
tick,time_s,p_front_Torr,p_wake_Torr,p_free_Torr
# Fix print output for fix out
1,0.01,0,0,0
2,0.02,1.59830114680633e-09,1.92484199806529e-12,1.16770648239591e-09
3,0.03,1.59847022614465e-09,1.81382020278041e-12,1.16683634053158e-09
4,0.04,1.60028446011624e-09,1.87468862836001e-12,1.16541818272103e-09
5,0.05,1.59849001243071e-09,1.84740405772408e-12,1.16599264462494e-09
6,0.06,1.59761411528779e-09,1.97513795967602e-12,1.16706120627067e-09
7,0.07,1.59586410407777e-09,1.82696048256615e-12,1.16489069815857e-09
8,0.08,1.59574810370322e-09,1.89066553234391e-12,1.16496337071381e-09
9,0.09,1.60348389027574e-09,1.8838148473315e-12,1.17010088985795e-09
10,0.1,1.59830104442793e-09,1.97795251056989e-12,1.16704676338376e-09
11,0.11,1.60322428462601e-09,1.87618309356295e-12,1.16907767219634e-09
12,0.12,1.59603427159008e-09,1.91214848041395e-12,1.1669692947246e-09
13,0.13,1.59610890398611e-09,1.89928471065338e-12,1.16620899689893e-09
14,0.14,1.59704891516205e-09,1.84624408229909e-12,1.16724950413943e-09
15,0.15,1.59712286826784e-09,1.84608890861447e-12,1.16658364275653e-09
16,0.16,1.59876871205439e-09,1.97922608021106e-12,1.16586841786375e-09
17,0.17,1.59965539746775e-09,1.95627650583783e-12,1.1677330701894e-09
tick,time_s,p_front_Torr,p_wake_Torr,p_free_Torr
# Fix print output for fix out
1,0.01,0,0,0
2,0.02,6.5297159301634e-10,2.68785704723047e-12,4.76363241273055e-10
3,0.03,6.53895999523181e-10,2.47376954252412e-12,4.76961058272062e-10
4,0.04,6.54024924957353e-10,2.59872276711758e-12,4.77865227861353e-10
5,0.05,6.52444947807215e-10,2.53610924014017e-12,4.76003769788189e-10
6,0.06,6.53236649715641e-10,2.53963470974045e-12,4.77089144174147e-10
7,0.07,6.53402889307134e-10,2.62531716251259e-12,4.76080334322709e-10
